RecordNumber,MediaURN,Title,Publisher,StartDate,StartTime,EndTime,Description,MediaType,CallNumber
13,13,"News Hour","Al Jazeera Eng",29/03/2010,10:00:00,10:18:00,"World news linking Al Jazeera's international news centres.",Video,BNT000000013
47,47,"News Hour KL","Al Jazeera Eng",30/04/2010,08:00:00,08:59:00,"World news from Al Jazeera's Kuala Lumpur news centre.",Video,BNT000000047
62,62,"Newshour","Al Jazeera Eng",07/05/2010,10:00:00,11:00:00,"World news linking Al Jazeera's international news centres. LAST ONE",Video,BNT000000062
85,84,"Newshour","Al Jazeera Eng",07/05/2010,19:00:00,19:59:00,"World news linking Al Jazeera's international news centres. 2010 General Election.",Video,BNT000000085
146,145,"News Live London","Al Jazeera Eng",08/05/2010,23:00:00,23:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000146
148,147,"News Live London","Al Jazeera Eng",09/05/2010,22:00:00,22:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000148
150,149,"News Live London","Al Jazeera Eng",10/05/2010,23:00:00,23:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000150
118,117,"News Live London","Al Jazeera Eng",11/05/2010,23:00:00,23:30:00,"World news from Al Jazeera's London news centre. 2010 General Election.",Video,BNT000000118
129,128,"One-hour News London","Al Jazeera Eng",12/05/2010,21:00:00,22:00:00,"World news from Al Jazeera's London news centre.",Video,BNT000000129
136,135,"News Live London","Al Jazeera Eng",13/05/2010,22:00:00,22:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000136
156,155,"News Live London","Al Jazeera Eng",14/05/2010,23:00:00,23:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000156
169,168,"News Live London","Al Jazeera Eng",15/05/2010,23:00:00,23:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000169
181,180,"News Live London","Al Jazeera Eng",16/05/2010,23:00:00,23:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000181
191,190,"News Live London","Al Jazeera Eng",17/05/2010,23:00:00,23:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000191
201,200,"News Live London","Al Jazeera Eng",18/05/2010,23:00:00,23:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000201
202,201,"News Live London","Al Jazeera Eng",19/05/2010,23:00:00,23:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000202
225,224,"News Live London","Al Jazeera Eng",20/05/2010,23:00:00,23:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000225
229,228,"News Hour","Al Jazeera Eng",21/05/2010,08:00:00,09:00:00,"World news linking Al Jazeera's international news centres.",Video,BNT000000229
284,283,"News Live London","Al Jazeera Eng",22/05/2010,23:00:00,23:30:00,"World news from Al Jazeera's London news centre. 22:00-22:30 re EPG slippage",Video,BNT000000284
292,291,"News Live London","Al Jazeera Eng",23/05/2010,22:00:00,22:30:00,"World news from Al Jazeera's London news centre. Actually 23:00-23:30 re EPG slippage",Video,BNT000000292
310,309,"News Live London","Al Jazeera Eng",25/05/2010,00:00:00,00:30:00,"World news from Al Jazeera's London news centre. News Live London - 23:00-23:30 - re EPG slippage",Video,BNT000000310
324,323,"News Live London","Al Jazeera Eng",26/05/2010,00:00:00,00:30:00,"World news from Al Jazeera's London news centre. 23:00-23:30 25/5/2010 re EPG slippage",Video,BNT000000324
333,332,"News Live London","Al Jazeera Eng",27/05/2010,00:00:00,00:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000333
342,341,"News Live London","Al Jazeera Eng",27/05/2010,23:00:00,23:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000342
352,351,"News Live London","Al Jazeera Eng",28/05/2010,23:00:00,23:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000352
362,361,"News Live London","Al Jazeera Eng",29/05/2010,23:00:00,23:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000362
371,370,"News Live London","Al Jazeera Eng",30/05/2010,23:00:00,23:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000371
379,378,"News Live London","Al Jazeera Eng",31/05/2010,23:00:00,23:30:00,"World news from Al Jazeera's London news centre.",Video,BNT000000379
499,497,"News Live London","Al Jazeera Eng",10/06/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000499
516,514,"News Live London","Al Jazeera Eng",11/06/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000516
576,574,"News Live London","Al Jazeera Eng",12/06/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000576
595,593,"News Live London","Al Jazeera Eng",13/06/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000595
651,649,"News Live London","Al Jazeera Eng",16/06/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000651
672,670,"News Live London","Al Jazeera Eng",17/06/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000672
695,693,"News Live London","Al Jazeera Eng",18/06/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000695
780,778,"News Live London","Al Jazeera Eng",28/06/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000780
789,787,"News Live London","Al Jazeera Eng",29/06/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000789
800,798,"News Live London","Al Jazeera Eng",30/06/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000800
812,810,"News Live London","Al Jazeera Eng",01/07/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000812
825,823,"News Live London","Al Jazeera Eng",02/07/2010,23:00:00,23:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000825
866,864,"News Live London","Al Jazeera Eng",12/07/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000866
880,878,"News Live London","Al Jazeera Eng",13/07/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000880
850,848,"Witness Special","Al Jazeera Eng",13/07/2010,04:00:00,05:00:00,"Upstream Battle: Native Americans are once again on the warpath, this is the story of the largest dam removal project in history.",Video,BNT000000850,,,,,
858,856,"News Live KL","Al Jazeera Eng",13/07/2010,06:00:00,06:30:00,"World news from Al Jazeera's Kuala Lumpur news centre.",Video,BNT000000858
889,887,"News Live London","Al Jazeera Eng",14/07/2010,22:00:00,22:32:00,"World news from Al Jazeera's London news centre. [AW]",Video,BNT000000889
